Advertiser ID,Advertiser Name,Primary Region,Membership Status,Datafeed Format,Feed ID,Feed Name,Language,Vertical,Last Imported,Last Checked,No of products,URL
"115765","tclhomesecurity","US","Not Joined","Enhanced","F117","","English","Retail","2025-06-09 10:42:51","2025-06-09 10:42:51","4","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F117.csv.gz"
"115495","Valrhona Collection","US","Not Joined","Enhanced","F119","","English","Retail","2025-06-09 10:41:31","2025-06-09 10:41:31","93","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F119.csv.gz"
"31243","Newbridge Silverware UK & IE","IE","active","Enhanced","F120","","English","Retail","2025-06-09 06:52:23","2025-06-09 06:52:23","1121","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F120.csv.gz"
"115655","Eco Ride Zone","GB","Not Joined","Enhanced","F122","","English","Retail","2025-06-09 06:43:19","2025-06-09 06:43:19","173","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F122.csv.gz"
"115783","Horow DE","DE","Not Joined","Enhanced","F123","","German","Retail","2025-06-09 10:41:53","2025-06-09 10:41:53","22","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F123.csv.gz"
"115395","Change Up Kids","US","Not Joined","Enhanced","F124","","English","Retail","2025-06-09 10:41:12","2025-06-09 10:41:12","1","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F124.csv.gz"
"115879","Super Genius Society","US","Not Joined","Enhanced","F128","","English","Retail","2025-06-09 10:41:26","2025-06-09 10:41:26","44","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F128.csv.gz"
"115723","Affiliation INCREDY","IT","Not Joined","Enhanced","F129","","Italian","Retail","2025-06-09 10:42:09","2025-06-09 10:42:09","8","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F129.csv.gz"
"113446","Karelias And Sons","US","pendingInvitation","Enhanced","F134","","English","Retail","2025-06-09 10:43:18","2025-06-09 10:43:18","8945","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F134.csv.gz"
"116485","MyEcoBikes Affiliate Programme","GB","Not Joined","Enhanced","F163","","English","Retail","2025-05-22 18:41:25","2025-05-22 18:41:25","759","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F163.csv.gz"
"115070","Foreverlyfe","US","Not Joined","Enhanced","F167","","English","Retail","2025-06-09 10:41:29","2025-06-09 10:41:29","32","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F167.csv.gz"
"116409","8849 Tech","US","Not Joined","Enhanced","F170","","English","Retail","2025-06-09 10:50:59","2025-06-09 10:50:59","11","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F170.csv.gz"
"86627","GreatBeanBags.com","US","Not Joined","Enhanced","F174","","English","Retail","2025-06-09 10:41:07","2025-06-09 10:41:07","215","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F174.csv.gz"
"115929","Audiobooks for everyone","US","Not Joined","Enhanced","F176","","English","Retail","2025-06-09 10:52:36","2025-06-09 10:52:36","109","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F176.csv.gz"
"29549","BINU-Beauty Natural Korean Cosmetics DE","DE","Not Joined","Enhanced","F182","","German","Retail","2025-06-09 10:41:34","2025-06-09 10:41:34","43","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F182.csv.gz"
"116631","Bullion.Shop High Gold Industry Commission","US","Not Joined","Enhanced","F185","","English","Retail","2025-06-09 10:41:46","2025-06-09 10:41:46","14","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F185.csv.gz"
"116621","Furnaza Home Furniture","US","Not Joined","Enhanced","F188","","English","Retail","2025-06-09 10:42:45","2025-06-09 10:42:45","76","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F188.csv.gz"
"109636","Back to the Pets","GB","Not Joined","Enhanced","F195","","English","Retail","2025-06-04 06:43:39","2025-06-04 06:43:39","7397","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F195.csv.gz"
"116527","DXB CHOC","GB","Not Joined","Enhanced","F199","","English","Retail","2025-06-09 10:41:21","2025-06-09 10:41:21","2","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F199.csv.gz"
"55383","Neem","GB","Not Joined","Enhanced","F203","","English","Retail","2025-06-09 10:42:07","2025-06-09 10:42:07","647","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F203.csv.gz"
"116665","isletan","US","Not Joined","Enhanced","F206","","English","Retail","2025-06-09 10:51:22","2025-06-09 10:51:22","22","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F206.csv.gz"
"116677","Atenai London Affiliation Marketing","GB","Not Joined","Enhanced","F208","","English","Retail","2025-06-09 10:42:33","2025-06-09 10:42:33","35","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F208.csv.gz"
"113464","BRUH. Skincare","US","Not Joined","Enhanced","F224","","English","Retail","2025-06-09 10:42:10","2025-06-09 10:42:10","17","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F224.csv.gz"
"30995","ZONLIHOME (US)","US","Not Joined","Enhanced","F231","","English","Retail","2025-06-09 10:42:34","2025-06-09 10:42:34","685","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F231.csv.gz"
"116701","LUXDRAPE","US","Not Joined","Enhanced","F248","","English","Retail","2025-06-09 10:40:53","2025-06-09 10:40:53","30","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F248.csv.gz"
"116937","LINEARGENT Jewelry Brand Ambassador","ES","Not Joined","Enhanced","F271","","Spanish","Retail","2025-06-09 06:43:38","2025-06-09 06:43:38","6935","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F271.csv.gz"
"116773","Botanical Green Lab","US","Not Joined","Enhanced","F272","","English","Retail","2025-06-09 10:40:57","2025-06-09 10:40:57","67","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F272.csv.gz"
"8","Drinkstuff.com","GB","active","Legacy","8","Default","English","","2023-06-06 01:02:07","2024-01-15 01:02:21","8011","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/8/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cproduct_name%2Cdescription%2Cspecifications%2Cmerchant_deep_link%2Cmerchant_image_url%2Cdelivery_time%2Csearch_price%2Cdelivery_cost%2Cpre_order%2Cin_stock%2Cstock_quantity%2Ccondition%2Clast_updated/"
"317","Toffs Ltd","GB","active","Legacy","317","TOFFS FEED","English","","2024-11-08 15:04:04","2024-11-14 07:05:43","2471","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/317/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_thumb_url%2Cmerchant_image_url%2Csearch_price%2Clast_updated%2Ckeywords/"
"488","Bunches.co.uk","GB","active","Legacy","488","Default","English","","2025-06-09 09:21:45","2025-06-09 09:21:42","195","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/488/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/aw_deep_link%2Cproduct_name%2Caw_product_id%2Cmerchant_product_id%2Cmerchant_image_url%2Cdescription%2Cmerchant_category%2Csearch_price%2Cmerchant_name%2Cmerchant_id%2Ccategory_name%2Ccategory_id%2Caw_image_url%2Ccurrency%2Cstore_price%2Cdelivery_cost%2Cmerchant_deep_link%2Clanguage%2Clast_updated%2Cbrand_name%2Cbrand_id%2Ccolour%2Cproduct_short_description%2Cspecifications%2Ccondition%2Cproduct_model%2Cmodel_number%2Cdimensions%2Ckeywords%2Cpromotional_text%2Cproduct_type%2Ccommission_group%2Cmerchant_product_category_path%2Cmerchant_product_second_category%2Cmerchant_product_third_category%2Crrp_price%2Csaving%2Csavings_percent%2Cbase_price%2Cbase_price_amount%2Cbase_price_text%2Cproduct_price_old%2Cdelivery_restrictions%2Cdelivery_weight%2Cwarranty%2Cterms_of_contract%2Cdelivery_time%2Cin_stock%2Cstock_quantity%2Cvalid_from%2Cvalid_to%2Cis_for_sale%2Cweb_offer%2Cpre_order%2Cstock_status%2Csize_stock_status%2Csize_stock_amount%2Cmerchant_thumb_url%2Clarge_image%2Calternate_image%2Caw_thumb_url%2Calternate_image_two%2Calternate_image_three%2Calternate_image_four%2Creviews%2Caverage_rating%2Crating%2Cnumber_available%2Ccustom_1%2Ccustom_2%2Ccustom_3%2Ccustom_4%2Ccustom_5%2Ccustom_6%2Ccustom_7%2Ccustom_8%2Ccustom_9%2Cean%2Cisbn%2Cupc%2Cmpn%2Cparent_product_id%2Cproduct_GTIN%2Cbasket_link/"
"496","Tooled Up","GB","active","Legacy","496","All Products","English","","2025-06-09 05:33:58","2025-06-09 05:09:15","85559","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/496/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","19857","Category - Power Tools","English","","2025-06-09 05:03:27","2025-06-09 05:03:21","3437","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/19857/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","19859","Category - Garden Tools","English","","2025-06-09 05:04:53","2025-06-09 05:04:41","4192","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/19859/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","19861","Category - Hand Tools","English","","2025-06-09 05:08:07","2025-06-09 05:07:52","15247","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/19861/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","19881","Category - Decorating & Tiling Tools","English","","2025-06-09 05:02:45","2025-06-09 05:02:40","999","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/19881/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","19883","Category - Plumbing Tools","English","","2025-06-08 05:02:16","2025-06-09 05:02:26","487","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/19883/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","19885","Category - Automotive Tools","English","","2025-06-09 05:04:20","2025-06-09 05:04:01","3213","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/19885/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","19889","Category - Cycle & Motorcycle Tools","English","","2025-06-03 05:01:22","2025-06-09 05:01:20","111","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/19889/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","19891","Category - Electrical Tools","English","","2025-06-08 05:01:57","2025-06-09 05:02:05","299","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/19891/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","19893","Category - Workwear","English","","2025-06-09 05:08:27","2025-06-09 05:08:13","15189","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/19893/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","20003","Category - Ladders","English","","2025-06-07 05:01:39","2025-06-09 05:01:40","288","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/20003/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","20005","Category - Security","English","","2025-06-07 05:09:45","2025-06-09 05:02:00","763","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/20005/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","20007","Category - Measuring Tools","English","","2025-06-08 05:02:35","2025-06-09 05:02:27","1013","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/20007/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","20011","Category - Air Tools","English","","2025-06-08 05:02:28","2025-06-09 05:02:27","992","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/20011/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","20013","Category - Cleaning & Drainage","English","","2025-06-09 05:03:41","2025-06-09 05:03:28","1533","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/20013/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","20015","Category - Fans & Heaters","English","","2025-06-07 05:01:24","2025-06-09 05:02:00","201","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/20015/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","20017","Category - Detectors & Testers","English","","2025-06-06 05:02:11","2025-06-09 05:01:40","142","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/20017/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","20019","Category - Power Tool Accessories","English","","2025-06-09 05:08:57","2025-06-09 05:08:33","21492","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/20019/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","20023","Brand - Bosch Professional","English","","2025-06-09 05:04:36","2025-06-09 05:04:23","4497","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/20023/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
"496","Tooled Up","GB","active","Legacy","20025","Brand - Dewalt","English","","2025-06-08 05:03:19","2025-06-09 05:03:01","2136","https://productdata.awin.com/datafeed/download/apikey/ed3a8668457343534c0164809c8ac673/fid/20025/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/"
